file,report_date,blockchain,fair_value
usdtb_2025-10.pdf,2025-10-31,Ethereum BU,50.0
usdtb_2025-10.pdf,2025-10-31,Ethereum BUIDL,323820763.0
usdtb_2025-10.pdf,2025-10-31,Avalanche BU,500432623.0
usdtb_2025-10.pdf,2025-10-31,Polygon BU,500432626.0
usdtb_2025-10.pdf,2025-10-31,Aptos BU,500845391.0
usdtb_2025-11.pdf,2025-11-30,Ethereum BU,50.0
usdtb_2025-11.pdf,2025-11-30,Ethereum BUIDL,2422.0
usdtb_2025-11.pdf,2025-11-30,Avalanche BU,276266961.0
usdtb_2025-11.pdf,2025-11-30,Polygon BU,276069132.0
usdtb_2025-11.pdf,2025-11-30,Aptos BU,276483092.0
usdtb_2025-11.pdf,2025-11-30,BSC BU,501158968.0
usdtb_2025-12.pdf,2025-12-31,Ethereum BU,50.0
usdtb_2025-12.pdf,2025-12-31,Ethereum BUIDL,982980.0
usdtb_2025-12.pdf,2025-12-31,Avalanche BU,76747927.0
usdtb_2025-12.pdf,2025-12-31,Polygon BU,0.0
usdtb_2025-12.pdf,2025-12-31,Aptos BU,252446796.0
usdtb_2025-12.pdf,2025-12-31,BSC BU,502825773.0
usdtb_2026-01.pdf,2026-01-31,Ethereum BU,50.0
usdtb_2026-01.pdf,2026-01-31,Ethereum BUIDL,985842.0
usdtb_2026-01.pdf,2026-01-31,Avalanche BU,112031121.0
usdtb_2026-01.pdf,2026-01-31,Aptos BU,248170778.0
usdtb_2026-01.pdf,2026-01-31,BSC BU,504285644.0
usdtb_2026-02.pdf,2026-02-28,Solana BU,376941485.0
usdtb_2026-02.pdf,2026-02-28,BSC BU,505645917.0
usdtb_2026-03.pdf,2026-03-31,Solana BU,423114366.0
usdtb_2026-03.pdf,2026-03-31,BSC BU,507196267.0
